MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
492251.3125,701.6062375,15.20860046,0.709227324,0.673238516,42
925228,961.8877273,12.97056526,0.509018064,0.487595439,43
158083.8594,397.5976099,11.06168106,0.928741753,0.923675478,44
708786.125,841.8943669,14.35956061,0.788045883,0.778599143,45
931149.9375,964.9611067,15.15302211,0.663225174,0.614976764,46
852334.875,923.2198411,22.66385257,0.624607027,0.614949822,47
29409.56055,171.4921588,8.978322148,0.978439987,0.97209686,48
640308.625,800.1928674,32.66887367,0.531438231,0.511853695,49
1761875.125,1327.356442,38.64563704,0.344467878,0.339241982,50
1015111.938,1007.527636,34.59892273,0.365007579,0.319491684,51
751453.9357,809.7735994,20.63090377,0.64422189,0.623571938,
