MSE,RMSE,MAPE(%),ExplainedVar,R2,seed
970541.125,985.1604565,22.90880382,0.333175302,0.315787494,0
1923946.125,1387.06385,51.3538897,0.410856605,0.343123019,1
1113785,1055.360128,18.09970438,0.58382833,0.565727592,2
879401.75,937.7642294,37.3886764,0.675988436,0.649743915,3
851106.375,922.5542667,23.11353534,0.59078753,0.556692839,4
1147756.075,1057.580586,30.57292193,0.51892724,0.486214972,
